Assembly Accession	Source Database	Organism Name	Organism Infraspecific Names Strain	Assembly Level	Assembly Stats Total Sequence Length	Assembly Stats Number of Contigs	Assembly Stats Total Number of Chromosomes	Assembly Stats GC Percent	CheckM completeness	CheckM contamination	Assembly Sequencing Tech	Assembly BioSample Accession	Assembly BioSample Isolation source	Assembly BioSample Host	Assembly BioSample Host disease	Assembly BioSample Geographic location	Assembly BioSample Collection date	Assembly BioProject Accession	Assembly BioProject Lineage Title	Assembly Release Date
GCF_053803305.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	S728A	Complete Genome	5512867	6	6	57.5	98.64	0.19	Illumina; Oxford Nanopore	SAMN48324029	stool	Homo sapiens		Czech Republic: Motol	2021-03-16	PRJNA1258574	IncL plasmid-mediated dissemination of OXA-48 beta-lactamase and blaCTX-M-15 gene amplification were identified via long-read sequencing in carbapenem-resistant Enterobacterales	2025-12-02
GCF_053803315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	S740A	Complete Genome	5806340	10	10	57	99.06	1.05	Illumina; Oxford Nanopore	SAMN48324034	stool	Homo sapiens		Czech Republic: Motol	2021-03-21	PRJNA1258574	IncL plasmid-mediated dissemination of OXA-48 beta-lactamase and blaCTX-M-15 gene amplification were identified via long-read sequencing in carbapenem-resistant Enterobacterales	2025-12-02
GCF_053803415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	S778B	Complete Genome	5790886	6	6	57	98.55	0.99	Illumina; Oxford Nanopore	SAMN48324032	stool	Homo sapiens		Czech Republic: Motol	2021-04-01	PRJNA1258574	IncL plasmid-mediated dissemination of OXA-48 beta-lactamase and blaCTX-M-15 gene amplification were identified via long-read sequencing in carbapenem-resistant Enterobacterales	2025-12-02
GCF_053803435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	S621A	Complete Genome	5666336	4	4	57	98.99	0.19	Illumina; Oxford Nanopore	SAMN48324028	stool	Homo sapiens		Czech Republic: Motol	2021-02-08	PRJNA1258574	IncL plasmid-mediated dissemination of OXA-48 beta-lactamase and blaCTX-M-15 gene amplification were identified via long-read sequencing in carbapenem-resistant Enterobacterales	2025-12-02
GCF_053851895.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	L20	Complete Genome	5458607	2	2	57	98.81	0.52	Oxford Nanopore PromethION	SAMN49944116	raw milk	cattle	mastitis	Portugal: North	2025	PRJNA1290908	Cattle Mastitis Micorbiome	2025-12-07
GCF_053901365.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	FB325	Complete Genome	5369479	1	1	57.5	98.59	0.19	Oxford Nanopore; BGISEQ	SAMN53653718	gut	Homo sapiens		China:Jinan	2022-06	PRJNA1373365	Klebsiella pneumoniae strain:FB325 Genome sequencing	2025-12-10
GCF_054047885.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ESBLKP_HM19	Complete Genome	5326141	3	3	57.5	98.27	0.5	Oxford Nanopore	SAMN50743360	Rectal swab	Homo sapiens		Malaysia: Klang Valley, Selangor	2024-01-13	PRJNA1307276	Comparative genomics of MRSA, ESBL- producing E.coli (ESBLEC) and K. pneumoniae (ESBLKP) isolated from Klang Valley, Malaysia	2025-12-17
GCF_054047905.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ESBLKP_MG22	Complete Genome	5484660	3	3	57.5	99.07	0.45	Oxford Nanopore	SAMN50743365	Rectal swab	Homo sapiens		Malaysia: Klang Valley, Selangor	2024-05-19	PRJNA1307276	Comparative genomics of MRSA, ESBL- producing E.coli (ESBLEC) and K. pneumoniae (ESBLKP) isolated from Klang Valley, Malaysia	2025-12-17
GCF_054047925.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ESBLKP_MG15	Complete Genome	5849504	3	3	57	98.6	0.36	Oxford Nanopore	SAMN50743364	Rectal swab	Homo sapiens		Malaysia: Klang Valley, Selangor	2024-03-24	PRJNA1307276	Comparative genomics of MRSA, ESBL- producing E.coli (ESBLEC) and K. pneumoniae (ESBLKP) isolated from Klang Valley, Malaysia	2025-12-17
GCF_054048165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ESBLKP_HM23	Complete Genome	5326141	3	3	57.5	98.27	0.5	Oxford Nanopore	SAMN50743361	Rectal swab	Homo sapiens		Malaysia: Klang Valley, Selangor	2024-01-16	PRJNA1307276	Comparative genomics of MRSA, ESBL- producing E.coli (ESBLEC) and K. pneumoniae (ESBLKP) isolated from Klang Valley, Malaysia	2025-12-17
GCF_054112685.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	38833B1	Complete Genome	5377045	1	1	57.5	97.64	0.74	Oxford Nanopore PromethION; Illumina NextSeq	SAMN53359242	blood	Homo sapiens	Sepsis	Gambia	2023-09-18	PRJNA1367967	Molecular characterisation of a Klebsiella pneumoniae neonatal sepsis outbreak in a rural Gambian hospital: a retrospective genomic epidemiology investigation	2025-12-21
GCF_054112705.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XM876	Complete Genome	5820455	5	5	57	98.78	1.02	Oxford Nanopore	SAMN53378783	stool	Homo sapiens	leukemia	China: Hangzhou	2023-11-01	PRJNA1369014	Klebsiella pneumoniae strain:XM876 Genome sequencing	2025-12-21
GCF_054162655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ZZJ33	Complete Genome	5553150	4	4	57	97.77	0.82	Illumina HiSeq; PacBio	SAMN38796437		Homo sapiens		China:taian	2021	PRJNA1051699	Klebsiella pneumoniae strain:ZZJ33 Genome sequencing	2025-12-24
GCF_054162665.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ZZJ46	Complete Genome	5586368	4	4	57	97.77	0.82	Illumina HiSeq; PacBio	SAMN38796517	Taian	Homo sapiens		China	2021	PRJNA1051774	Klebsiella pneumoniae strain:ZZJ46 Genome sequencing	2025-12-24
GCF_054162695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ZZJ29	Complete Genome	5715528	5	5	57	97.5	0.9	Illumina HiSeq; PacBio	SAMN38796888	Taian	Homo sapiens		China	2021	PRJNA1051776	Klebsiella pneumoniae strain:ZZJ29 Genome sequencing	2025-12-24
GCF_054353435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SYF17	Complete Genome	5697815	4	4	57	99.07	1.5	Oxford Nanopore	SAMN54272888	Alveolar lavage fluid	Homo sapiens	pneumonia	China: Hangzhou	2023-08-23	PRJNA1392801	Klebsiella pneumoniae strain:SYF17 | isolate:SYF17 Genome sequencing	2026-01-05
GCF_054353535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	OONT128	Complete Genome	5620502	4	4	57	98.55	0.9	Oxford Nanopore MinION	SAMN43275231	blood	Homo sapiens	Infection	USA: Houston	2024-01	PRJNA1150149	Rapid Whole Genome Characterization of High-Risk Pathogens Using Long-Read Sequencing to Identify Potential Healthcare Transmission	2026-01-05
GCF_054353555.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MB16560	Complete Genome	5363639	2	2	57.5	98.55	1	Oxford Nanopore MinION	SAMN43275162	blood	Homo sapiens	Infection	USA: Houston	2023-09	PRJNA1150149	Rapid Whole Genome Characterization of High-Risk Pathogens Using Long-Read Sequencing to Identify Potential Healthcare Transmission	2026-01-05
GCF_054353575.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MB16572	Complete Genome	5406032	4	4	57.5	98.55	1	Oxford Nanopore MinION	SAMN43275165	blood	Homo sapiens	Infection	USA: Houston	2023-09	PRJNA1150149	Rapid Whole Genome Characterization of High-Risk Pathogens Using Long-Read Sequencing to Identify Potential Healthcare Transmission	2026-01-05
GCF_054353595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	MB16694	Complete Genome	5363873	3	3	57.5	98.55	1	Oxford Nanopore MinION	SAMN43275173	blood	Homo sapiens	Infection	USA: Houston	2023-10	PRJNA1150149	Rapid Whole Genome Characterization of High-Risk Pathogens Using Long-Read Sequencing to Identify Potential Healthcare Transmission	2026-01-05
GCF_054356415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CZ2103	Complete Genome	5733033	7	7	57	99.07	1.06	Illumina HiSeq; Oxford Nanopore	SAMN54365301	Chicken feces			China: Anyang City, Henan Province	2022	PRJNA1395545	Klebsiella pneumoniae Genome sequencing	2026-01-06
GCF_054391535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	PRO_A-1465-6W-A_ESBL	Complete Genome	5412465	3	3	57.5	98.67	0.75	Oxford Nanopore GridION	SAMN53669762	feces	Homo sapiens	healthy	Tanzania	2022-06-03	PRJNA1370689	ProRIDE ESBL-Enterobacterales isolates	2026-01-07
GCF_054391795.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	PRO_A-1010-6W-A_ESBL	Complete Genome	5611841	5	5	57	98.63	0.63	Oxford Nanopore GridION	SAMN53669743	feces	Homo sapiens	healthy	Tanzania	2022-03-14	PRJNA1370689	ProRIDE ESBL-Enterobacterales isolates	2026-01-07
GCF_054404275.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	EC02	Complete Genome	5996927	6	6	57	99.07	0.47	Illumina; PacBio RS	SAMN54226643	blood	Homo sapiens		China: jiamusi	2023-11-23	PRJNA1391798	Clinical, Virulence and Molecular Epidemiological Characteristics of Carbapenem-Resistant Hypervirulent Klebsiella pneumoniae Infections in the Cold Regions of Eastern China	2026-01-08
GCF_054404315.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	EC01	Complete Genome	5852924	6	6	57	98.72	0.43	Illumina; PacBio RS	SAMN54226642	blood	Homo sapiens		China: jiamusi	2023-09-15	PRJNA1391798	Clinical, Virulence and Molecular Epidemiological Characteristics of Carbapenem-Resistant Hypervirulent Klebsiella pneumoniae Infections in the Cold Regions of Eastern China	2026-01-08
GCF_054404855.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SRMKP7115	Complete Genome	5871486	4	4	57	98.81	0.43	Oxford Nanopore	SAMN54306991	clinical	Homo sapiens	Lung Infection	China: Hangzhou	2025	PRJNA1392157	Klebsiella pneumoniae Genome sequencing	2026-01-08
GCF_054483655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP2024	Complete Genome	5766559	9	9	57	98.68	0.58	Illumina NovaSeq; PromethION	SAMN54434824		Homo sapiens		China:HeBei	2024-07-30	PRJNA1397581	Klebsiella pneumoniae strain:KP2024 Genome sequencing	2026-01-13
GCF_054512835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	ST35-KP78	Complete Genome	5587139	4	4	57.5	98.96	1.37	Oxford Nanopore; Illumina NovaSeq	SAMN54461063	sputum	Homo sapiens	Neurological diseases	China: Hefei, Anhui	2019-02-17	PRJNA1290837	Gram-negative bacteria with different pathogenicity.	2026-01-17
GCF_054552135.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	K127	Complete Genome	5576292	2	2	57.5	99.07	0.36	Illumina	SAMN54560518	sputum	Homo sapiens	intracranial infection	China	2025-03-18	PRJNA1401316	Klebsiella pneumoniae strain:K127 Genome sequencing	2026-01-19
GCF_054552675.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	K25	Complete Genome	5576093	2	2	57.5	99.07	0.36	Illumina	SAMN54560517	sputum	Homo sapiens	intracranial infection	China	2025-03-18	PRJNA1401312	Klebsiella pneumoniae strain:K25 Genome sequencing	2026-01-19
GCF_054552715.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	K2	Complete Genome	5571312	2	2	57.5	99.07	0.36	Illumina	SAMN54560516	sputum	Homo sapiens	intracranial infection	China	2025-03-18	PRJNA1401311	Klebsiella pneumoniae strain:K2 Genome sequencing	2026-01-19
GCF_054693465.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP144	Complete Genome	5791791	4	4	57	98.27	1.25	PacBio Sequel	SAMN38194382	not collected	Homo sapiens	not collected	China: Yunnan	2023-05	PRJNA1037605	Genome sequencing of Klebsiella pneumoniae strain KP144	2026-01-23
GCF_054786535.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CPF32-1	Complete Genome	5629307	3	3	57	98.55	1.17	Illumina HiSeq; Oxford Nanopore MinION	SAMN54570605	Pig feces	pig		China: Yangzhou	2022-06	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786555.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CPF2-3	Complete Genome	5629889	3	3	57	98.55	1.17	Illumina HiSeq; Oxford Nanopore MinION	SAMN54581506	feces	pig		China: Yangzhou	2022-06	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786565.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AHDF2-4-2	Complete Genome	5628786	3	3	57	98.55	1.17	Illumina HiSeq; Oxford Nanopore MinION	SAMN54581505	feces	duck		China: Dangshan	2024-01	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CPF34-1	Complete Genome	5686769	4	4	57	98.55	1.17	Illumina HiSeq; Oxford Nanopore MinION	SAMN54581508	feces	pig		China: Yangzhou	2022-06	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786615.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TCPF28-3	Complete Genome	5673839	4	4	57	99.04	1.51	Illumina HiSeq; Oxford Nanopore MinION	SAMN54581511	feces	pig		China: Yangzhou	2022-06	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786635.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CPF3-2	Complete Genome	5630674	3	3	57	98.55	1.17	Illumina HiSeq; Oxford Nanopore MinION	SAMN54581507	feces	pig		China: Yangzhou	2022-06	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786655.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TAC213-3	Complete Genome	5686175	4	4	57	98.03	0.87	Illumina HiSeq; Oxford Nanopore MinION	SAMN54581510	feces	chicken		China: Tai'an	2023-05	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786665.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5038	Complete Genome	5770665	6	6	57	98.29	1.07	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582131	nasal swab	pig		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5039	Complete Genome	5771144	6	6	57	98.29	1.07	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582132	nasal swab	pig		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786715.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5788	Complete Genome	5540111	4	4	57	98.55	1	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582133	nasal swab	sheep		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786725.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5789	Complete Genome	5541041	4	4	57	98.55	1	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582140	nasal swab	sheep		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786755.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5790	Complete Genome	5541063	4	4	57	98.55	1	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582141	nasal swab	sheep		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786775.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5791	Complete Genome	5541056	4	4	57	98.55	1	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582142	nasal swab	sheep		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054786795.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	TLM5793	Complete Genome	5541326	4	4	57	98.55	1	Illumina HiSeq; Oxford Nanopore MinION	SAMN54582143	nasal swab	sheep		China: Xinjiang	NA	PRJNA1401772	Klebsiella  pneumoniae genome sequencing	2026-01-26
GCF_054849835.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	QL698	Complete Genome	5989907	5	5	57	98.81	0.58	Illumina; Oxford Nanopore	SAMN54719734	sputum	Homo sapiens	pneumonia	China	2023-02-14	PRJNA1404611	Klebsiella pneumoniae Genome sequencing	2026-01-30
GCF_054850545.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XY-KP1303	Complete Genome	5959180	4	4	57	99.07	0.86	Illumina NovaSeq; PacBio Sequel	SAMN50004055		Homo sapiens		China:Jiangsu	2021-05-18	PRJNA1292749	Klebsiella pneumoniae strain:XY-KP1303 Genome sequencing	2026-01-30
GCF_054850555.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XY-KP1441	Complete Genome	5884501	4	4	57	98.48	0.86	Illumina NovaSeq; PacBio Sequel	SAMN50004179		Homo sapiens		China:Jiangsu	2021-08-18	PRJNA1292752	Klebsiella pneumoniae strain:XY-KP1441 Genome sequencing	2026-01-30
GCF_054875905.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KPN.355	Complete Genome	5679318	5	5	57	98.29	0.5	Illumina; PacBio	SAMN54886797	urine	Homo sapiens		China:Shanghai	2018-01-25	PRJNA1413901	Klebsiella pneumoniae strain:KPN.355 Genome sequencing	2026-02-01
GCF_054898245.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CUVET24-RF5	Complete Genome	5897107	6	6	57	98.69	1.41	Oxford Nanopore MinION and Illumina Nextseq 500	SAMN47927580	Room floor			Thailand: Bangkok	2024-05	PRJNA1232681	Carbapenemase-producing Gram-negative bacteria, complete sequence	2026-02-03
GCF_054898255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	CUVET23-RF2	Complete Genome	5835142	6	6	56.5	98.71	1.09	Oxford Nanopore MinION and Illumina Nextseq 500	SAMN47927579	Room floor			Thailand: Bangkok	2023-10	PRJNA1232681	Carbapenemase-producing Gram-negative bacteria, complete sequence	2026-02-03
GCF_054900325.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR-1054-MV	Complete Genome	5771975	4	4	57	99.07	0.19	Oxford Nanopore GridION	SAMN53681265	missing	missing	missing	missing	missing	PRJNA1374223	Evolution of Klebsiella pneumoniae resistant to meropenem/vaborbactam in a hollow fiber infection model	2026-02-03
GCF_054900375.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR-1054-GC	Complete Genome	5817720	5	5	57	99.07	0.19	Oxford Nanopore GridION	SAMN53681264	missing	missing	missing	missing	missing	PRJNA1374223	Evolution of Klebsiella pneumoniae resistant to meropenem/vaborbactam in a hollow fiber infection model	2026-02-03
GCF_054900385.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR-1054	Complete Genome	5817720	5	5	57	99.07	0.19	Oxford Nanopore GridION	SAMN53681263	missing	missing	missing	missing	missing	PRJNA1374223	Evolution of Klebsiella pneumoniae resistant to meropenem/vaborbactam in a hollow fiber infection model	2026-02-03
GCF_054900415.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR-1049-MV	Complete Genome	5765379	5	5	57	98.76	0.19	Oxford Nanopore GridION	SAMN53681262	missing	missing	missing	missing	missing	PRJNA1374223	Evolution of Klebsiella pneumoniae resistant to meropenem/vaborbactam in a hollow fiber infection model	2026-02-03
GCF_054900435.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR-1049-GC	Complete Genome	5766570	5	5	57	98.76	0.19	Oxford Nanopore GridION	SAMN53681261	missing	missing	missing	missing	missing	PRJNA1374223	Evolution of Klebsiella pneumoniae resistant to meropenem/vaborbactam in a hollow fiber infection model	2026-02-03
GCF_054900445.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	AR-1049	Complete Genome	5765901	5	5	57	98.76	0.19	Oxford Nanopore GridION	SAMN53681260	missing	missing	missing	missing	missing	PRJNA1374223	Evolution of Klebsiella pneumoniae resistant to meropenem/vaborbactam in a hollow fiber infection model	2026-02-03
GCF_054902235.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	YZB2	Complete Genome	5648177	5	5	57	98.46	1.38	Illumina HiSeq; Oxford Nanopore MinION	SAMN54725951	chicken			China: Jiangsu	2022-06	PRJNA1404848	Klebsiella pneumoniae Genome sequencing	2026-02-03
GCF_054917935.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	231-20	Complete Genome	5954636	9	9	57	98.91	0.72	Oxford Nanopore PromethION	SAMN53172020	sputum	Homo sapiens		China: Guangzhou	2024-10-25	PRJNA1359551	KPC- and NDM-coproducing carbapenem-resistant Klebsiella pneumoniae in South China	2026-02-04
GCF_054918595.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XYKP1441	Complete Genome	5884501	4	4	57	98.48	0.86	Illumina NovaSeq; PacBio Sequel	SAMN54940783	sputum	Homo sapiens	pneumonia	China:Xuzhou	2021-08-18	PRJNA1415691	Klebsiella pneumoniae strain:XYKP1441 Genome sequencing	2026-02-04
GCF_054918615.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	XYKP1303	Complete Genome	5959180	4	4	57	99.07	0.86	Illumina NovaSeq; PacBio Sequel	SAMN54940662	sputum	Homo sapiens	pneumonia	China: Xuzhou	2021-05-18	PRJNA1415682	Klebsiella pneumoniae strain:XYKP1303 Genome sequencing	2026-02-04
GCF_054952405.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	SDS/K-9	Complete Genome	5653397	5	5	57	97.78	0.22	Oxford Nanopore	SAMN54972262	urine	Homo sapiens	Klebsiella infection	India: Maharashtra, Pune	2022-06	PRJNA1416257	Klebsiella pneumoniae subsp. pneumoniae Genome sequencing and assembly from Pune, India	2026-02-07
GCF_054960255.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	A51198714	Complete Genome	6083461	6	6	57	99.07	0.47	PacBio	SAMN50543836	sputum	Homo sapiens	pneumonia	China	2024-06-26	PRJNA1303965	Klebsiella pneumoniae strain:A51198714 Genome sequencing	2026-02-10
GCF_055389285.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	NR456	Complete Genome	5412257	2	2	57.5	98.8	0.24	Illumina MiSeq; Nanopore MinION	SAMD00898391		Homo sapiens		Japan	2015-02	PRJDB20582	Phenotypic and genetic characteristics of blaIMP-6 harboring Enterobacterales isolated in Japan	2025-06-03
GCF_055389695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	NR409	Complete Genome	5411316	2	2	57.5	98.73	0.24	Illumina MiSeq; Nanopore MinION	SAMD00898390		Homo sapiens		Japan	2014-10	PRJDB20582	Phenotypic and genetic characteristics of blaIMP-6 harboring Enterobacterales isolated in Japan	2025-06-03
GCF_055390855.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	NR516	Complete Genome	5423385	2	2	57.5	99.07	0.38	Illumina MiSeq; Nanopore MinION	SAMD00898387		Homo sapiens		Japan	2015-07	PRJDB20582	Phenotypic and genetic characteristics of blaIMP-6 harboring Enterobacterales isolated in Japan	2025-06-03
GCF_055395285.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	NR3427	Complete Genome	5471329	4	4	57.5	99.03	1.07	Illumina MiSeq; Nanopore MinION	SAMD00898376		Homo sapiens		Japan	2018-08	PRJDB20582	Phenotypic and genetic characteristics of blaIMP-6 harboring Enterobacterales isolated in Japan	2025-06-03
GCF_055397515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5372956	3	3	57	97.77	0.33	Illumina NovaSeq 6000; MinION	SAMD01704711	feces	Homo sapiens		Japan	2016-01-04	PRJDB9509	Epidemiology of Klebsiella pneumoniae clinical isolates in Japan	2025-12-06
GCF_055397695.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5386070	3	3	57.5	97.9	0.76	Illumina NovaSeq 6000; MinION	SAMD01704710	feces	Homo sapiens		Japan	2016-12-26	PRJDB9509	Epidemiology of Klebsiella pneumoniae clinical isolates in Japan	2025-12-06
GCF_055397985.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5463812	3	3	57	99.07	0.5	Illumina NovaSeq 6000; MinION	SAMD01704709	feces	Homo sapiens		Japan	2016-12-19	PRJDB9509	Epidemiology of Klebsiella pneumoniae clinical isolates in Japan	2025-12-06
GCF_055398165.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae		Complete Genome	5448556	3	3	57	99.07	0.42	Illumina NovaSeq 6000; MinION	SAMD01704708	feces	Homo sapiens		Japan	2016-12-12	PRJDB9509	Epidemiology of Klebsiella pneumoniae clinical isolates in Japan	2025-12-06
GCF_055484625.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	K1	Complete Genome	5915071	6	6	57	98.66	0.25	Illumina NovaSeq	SAMN55470752		Homo sapiens		China: Fujian	2024-07-08	PRJNA1425646	Klebsiella pneumoniae strain:K1 Genome sequencing	2026-02-24
GCF_055485485.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	22-90	Complete Genome	5734350	3	3	57	98.79	0.43	PacBio	SAMN55343522	bronchoalveolar lavage fluid	Homo sapiens	Pneumonia	China:XUzhou	2025-09-22	PRJNA1423266	Klebsiella pneumoniae strain:multiple strains Genome sequencing	2026-02-24
GCF_055485515.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	16-116	Complete Genome	5736352	3	3	57	99.05	0.43	PacBio	SAMN55343521	bronchoalveolar lavage fluid	Homo sapiens	Pneumonia	China:XUzhou	2025-09-16	PRJNA1423266	Klebsiella pneumoniae strain:multiple strains Genome sequencing	2026-02-24
GCF_055639915.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	RC_3436	Complete Genome	5741243	5	5	57	97.1	1.17	Oxford Nanopore GridION	SAMN55916958	sputum	Homo sapiens		Russia: Republic of Tatarstan, Kazan	2024-06-13	PRJNA1427563	Klebsiella pneumoniae strain:RC_3436 Genome sequencing	2026-03-03
GCF_055688065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	KP_9165	Complete Genome	5242873	1	1	57.5	98.39	0.19	Illumina	SAMN54172411	Patient's urine	Homo sapiens	Bacterial pneumonia	China	2021-05-21	PRJNA1390179	Klebsiella pneumoniae strain:KP_9165 Genome sequencing	2026-03-05
GCF_055699025.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	HD9932	Complete Genome	5681650	3	3	57	96.64	1.69	nanopore	SAMN46297288	secretion	Homo sapiens	fever	China: jiangsu	2020-09	PRJNA1212314	Klebsiella pneumoniae strain:2020-09 | isolate:2020-09 Genome sequencing	2026-03-06
GCF_055699065.1	SOURCE_DATABASE_REFSEQ	Klebsiella pneumoniae	HD9931	Complete Genome	5409803	4	4	57.5	99.07	1.38	nanopore	SAMN46290449	secretion	Homo sapiens	fever	China: jiangsu	2020-09-04	PRJNA1212054	Klebsiella pneumoniae strain:HD9931 Genome sequencing	2026-03-06
